Corrected,Corrected,Corrected,Corrected,Corrected,Corrected
79663327.005466297,90261436.199087307,78046101.476663783,135455442.8682116,126523071.43270922,113023236.99621682
0.0,0.0,0.0,0.0,0.0,0.0
359405.59342736617,919074.07544536516,835017.59434593329,3548053.1619006493,4893361.4136886923,4384185.2802428193
3836969.1048517213,4207498.2616642537,3617711.1461917264,73505477.53852132,96646086.133125499,91315957.652044654
0.0,170759.96612530368,0.0,2022145.4193330815,0.0,0.0
254085.71711861371,0.0,170336.03888566414,3075116.5605610311,4543240.724445194,3651578.848529249
669060.86978594586,453256.54538064281,310805.91101726651,357077.80988392199,0.0,1479623.6953706646
0.0,0.0,61708.343678354024,1811719.66701302,1485552.0211561646,847754.18153922411
0,0,0,0,0.0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
846399.134225099,885682.0128769445,654187.67815067223,0,0,0
0.0,0.0,88032.712202104405,0,0,0
682033.60942762683,1033087.481668046,566355.32315769244,0,0,0
249345.16512376687,207811.6139386454,248368.93897654521,0,0,0
811250.46437537356,991386.61885698966,746564.05266936612,0,165345.91969925031,0
38175.17338900247,89579.315419883103,23715.053531780883,0,0,63986.733964460742
258152.19048151732,146537.48531811472,163400.49962760491,0,0,0
0,0,0,0,0,0
59660.617836020094,153500.35947399042,73828.308043326208,0,0,0
52465.494172597762,30136.000124224654,4149.9140139056035,0,0,0
278640.02603739826,343454.57596543944,325659.78910737578,0,0,0
213984.6208447369,264740.43797388126,232872.07716598839,0,0,0
550441.22118653788,730091.97774210153,583797.12050496123,0,0,0
0,0,0,0,0,0
433401.12157550559,838931.1110820683,916813.15004273527,0,0,0
223952.76372167896,335786.04836674698,270982.91579180979,0,0,0
606795.45668686822,810221.13843263651,615408.57169902162,0,0,0
0.0,0.0,65744.256013182268,0,0,0
281300.90470071032,318577.52212510043,232322.81846146626,0,0,0
2301.9477897862475,75263.185837692814,81284.682607306473,0,0,0
145573.87046271839,161949.22959060487,284835.28489447228,0,0,0
0,0,0,0,0,0
67823.211782705679,249922.69279219839,217617.62694100448,0,0,0
0,0,0,0,0,0
181727.12389561199,246908.64454563451,192311.86328057706,0,0,0
94160.485618879422,185801.22251358008,243778.32813350495,0,0,0
373830.46734336665,369427.90233594191,215166.53129757076,0,0,0
55413.188774035654,141275.78743526325,37016.223429216865,0,0,0
340114.21179806441,440017.987935843,314103.60350731737,0,0,0
0,0,0,0,0,0
154299.35526642157,261862.20501224932,256363.78428009455,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
221848533.98242655,214055225.93745017,192882438.16109487,468456498.17515498,447040431.93644118,377657737.23643363
0.0,507950.04746635741,902540.28126587102,2071998.7361704886,0.0,0.0
1906402.712026895,2733035.7070960938,1512549.9675407878,14289828.333578195,17672256.280559264,12942129.465332851
18002561.77536349,17955495.09490611,16914911.763627235,348323688.57019758,433225788.8571462,401973447.33345765
568849.83167082292,156037.88321588087,302216.37920401531,664520.53865033493,1334577.2269069194,0.0
0.0,0.0,0.0,8996252.9697032459,12341883.046599787,8607161.4316022638
0.0,414706.08052749431,274701.82393799978,963562.59763251746,0.0,919539.05233586102
115633.86726250664,116915.63973387681,24363.218273970695,2703727.2737901453,1742926.6631097731,1868858.7220506344
0,0,0,1.8804816285897423e-10,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1424434.5540398676,1502587.5876634982,1229642.1259539146,0,0,0
474002.00525668002,693705.30802316847,301511.61985887797,0,0,0
2766591.0657274812,2663361.1345634433,2699418.7045235531,0,0,0
855564.50604672474,1082616.7999672065,791935.547375803,0,0,0
2952113.4520040886,2735330.514665693,2779068.8217602321,81920.398955594239,104829.09752040148,0
